,Movies,Time,Rating
0,Infomercial,2:00 PM-2:30 PM,-
1,Infomercial,2:30 PM-3:00 PM,-
2,Dor,3:00 PM-6:00 PM,7.7
3,Naya Aatish,6:00 PM-8:30 PM,-
4,Infomercial,8:30 PM-9:00 PM,-
5,Dil Maange More,9:00 PM-12:00 AM,5.1
6,Infomercial,12:00 AM-6:00 AM,-
7,Infomercial,6:00 AM-9:00 AM,-
8,Infomercial,9:00 AM-9:30 AM,-
