,Movies,Time,Rating
0,"Main, Meri Patni Aur Woh",12:10 PM-2:41 PM,7.3
1,Saajan Chale Sasural,2:41 PM-5:14 PM,5.9
2,Gumrah,5:14 PM-7:55 PM,6.3
3,Maa Tujhhe Salaam,7:55 PM-10:17 PM,3.4
4,Vachanbadh,10:17 PM-12:38 AM,-
5,Kalyug Ke Dharmraj,12:38 AM-3:21 AM,-
6,Aap Mujhe Achche Lagne Lage,3:21 AM-6:25 AM,3.1
7,Joy Maa Durga,6:25 AM-8:35 AM,-
8,100 Days,8:35 AM-11:30 AM,6.6
9,Kachche Dhaage,11:30 AM-2:20 PM,6.1
