,Movies,Time,Rating
0,Lucy,1:00 PM-2:25 PM,6.4
1,The World Is Not Enough,2:25 PM-4:45 PM,6.4
2,Monster Hunt,4:45 PM-7:05 PM,6.2
3,Son of the Mask,7:05 PM-9:00 PM,2.2
4,Quantum of Solace,9:00 PM-11:00 PM,6.7
5,Skyfall,11:00 PM-1:45 AM,7.8
6,Two Champions of Shaolin,1:45 AM-3:35 AM,6.6
7,The Woman Knight of Mirror Lake,3:35 AM-5:25 AM,6.1
