,Movies,Time,Rating
0,Deep Blue Sea,1:08 PM-3:01 PM,5.8
1,Harry Potter and the Chamber of Secrets,3:01 PM-6:02 PM,7.4
2,Rango,6:02 PM-8:00 PM,7.2
3,The Dark Knight Rises,8:00 PM-11:12 PM,8.5
4,The Hangover Part II,11:12 PM-1:08 AM,6.5
5,Legendary,1:08 AM-2:48 AM,3.8
6,Morning Glory,2:48 AM-4:32 AM,6.5
7,Carrie,4:32 AM-6:00 AM,7.4
8,Around the World In 80 Days,6:00 AM-7:59 AM,5.8
9,Tv Special,7:59 AM-8:07 AM,-
